0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
-0.1896893,-0.1821723,0.1492993,0.1403091,-0.08733302,-0.08968165,0.06633674,0.06722533
0.1619471,-0.1404879,0.1415844,-0.1567865,0.05535554,-0.07118307,0.05235817,-0.0843452
0,0,0,0,0,0,0,0
-4.994568,4.950149,-5.014053,5.032081,-4.825554,4.730094,-4.851274,4.638407
-5.037824,-5.043025,5.02761,5.005998,-4.679838,-4.608667,4.752774,4.731803
-4.198279,-4.174295,-3.951511,-4.001636,2.883281,2.721101,2.99504,2.856946
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2765.45,2739.777,2755.871,2717.931,2219.716,2087.379,2187.645,2103.038
-230.9429,-214.0655,-17.35939,-36.49037,-282.6861,-217.6464,87.80866,21.94768
182.0458,-9.283917,159.2798,-25.03735,176.0571,-115.1656,147.1266,-99.40125
310.4643,39.21408,34.94395,305.3934,367.8586,158.9266,-9.761662,298.103
